Incidence Rate Report for United States by HSA

"Melanoma of the Skin (All Stages^), 2014-2018"

"All Races (includes Hispanic), Both Sexes, All Ages"

Sorted by Rate

Health Service Area, HSA_Code,Met Healthy People Objective of ***?,"Age-Adjusted Incidence Rate([rate note]) - cases per 100,000","Lower 95% Confidence Interval","Upper 95% Confidence Interval","CI*Rank([rank note])","Lower CI (CI*Rank)","Upper CI (CI*Rank)",Average Annual Count,Recent Trend,"Recent 5-Year Trend ([trend note]) in Incidence Rates","Lower 95% Confidence Interval","Upper 95% Confidence Interval"
"US (SEER+NPCR)(1)",00000,***,22.6 ,22.5, 22.7,N/A , N/A , N/A,83620,stable,0.2 ,-2.5, 2.9
"Marin, CA(7)",0764,***,55.9 ,52.4, 59.6,N/A , 1 , 1,210,rising,2.3 ,1.0, 3.6
"Iron, UT - Beaver, UT(7)",0755,***,48.9 ,40.4, 58.6,N/A , 1 , 5,24,stable,-1.3 ,-5.4, 3.0
"Sioux, IA(7)",0672,***,48.4 ,38.1, 60.5,N/A , 1 , 10,17,rising,5.3 ,3.4, 7.2
"Cache, UT(7)",0966,***,47.5 ,41.2, 54.4,N/A , 1 , 5,43,rising,5.1 ,3.6, 6.7
"Howard, IA(7)",0552,***,47.3 ,29.9, 71.2,N/A , 1 , 27,5,*,*,*,*
"Washington, UT - Kane, UT(7)",0964,***,47 ,42.7, 51.6,N/A , 1 , 4,101,rising,6.7 ,3.2, 10.3
"Hall, GA - Habersham, GA(7)",0157,***,45 ,42.2, 48,N/A , 1 , 3,206,rising,3.1 ,2.0, 4.2
"Davis, UT - Weber (Ogden), UT(7)",0744,***,45 ,42.6, 47.6,N/A , 1 , 5,262,rising,5.2 ,4.4, 5.9
"Sonoma (Santa Rosa), CA(7)",0834,***,44.3 ,42, 46.8,N/A , 2 , 3,291,rising,4.3 ,3.1, 5.6
"Winneshiek, IA(7)",0395,***,43.6 ,31.8, 58.6,N/A , 1 , 20,11,*,*,*,*
"Dubuque (Dubuque), IA - Jackson, IA(7)",0909,***,42.8 ,37.7, 48.4,N/A , 1 , 9,57,stable,-6.3 ,-16.9, 5.6
"Salt Lake (Salt Lake City), UT - Tooele, UT(7)",0708,***,41.8 ,40.1, 43.5,N/A , 4 , 6,493,falling,-4.5 ,-8.0, -0.9
"Essex, VT(7)",0884,***,41.7 ,22, 72.4,N/A , 1 , 7,3,stable,4.0 ,-0.8, 8.9
"Santa Cruz, CA(7)",0802,***,41.5 ,38.2, 45,N/A , 2 , 5,130,rising,4.1 ,2.6, 5.6
"Washington, VT - Windsor, VT(7)",0857,***,40.9 ,36.8, 45.4,N/A , 1 , 5,81,stable,1.8 ,0.0, 3.6
"Bennington, VT(7)",0854,***,40.6 ,32.9, 49.9,N/A , 1 , 7,22,stable,-1.7 ,-4.9, 1.7
"Cheshire, NH(7)",0090,***,40.4 ,34.9, 46.6,N/A , 1 , 2,42,stable,2.2 ,-0.2, 4.7
"Jasper, GA(7)",0220,***,40.3 ,27.8, 56.9,N/A , 1 , 26,7,stable,4.2 ,-0.5, 9.0
"Grafton, NH - Sullivan, NH(7)",0015,***,40.3 ,36, 45,N/A , 1 , 2,73,stable,7.2 ,-1.9, 17.1
"Lewis and Clark, MT - Jefferson, MT(7)",0721,***,39.8 ,34.4, 45.9,N/A , 1 , 4,44,rising,9.4 ,5.8, 13.1
"Calloway, KY(7)",0115,***,39.5 ,31, 49.7,N/A , 1 , 16,16,stable,2.9 ,0.0, 5.8
"Henry, GA - Forsyth, GA(7)",0825,***,39.5 ,37.5, 41.6,N/A , 2 , 5,306,stable,-6.1 ,-14.8, 3.4
"Cerro Gordo, IA - Kossuth, IA(7)",0556,***,39.4 ,34.2, 45.1,N/A , 1 , 12,50,rising,4.8 ,3.6, 5.9
"Gallatin and Yellowstone National Park, MT - Madison, MT(7)",0773,***,39.3 ,34.2, 45,N/A , 1 , 4,45,rising,6.3 ,3.5, 9.1
"Teton, WY - Lincoln, WY(7)",0775,***,39.2 ,32.1, 47.5,N/A , 1 , 3,23,stable,2.9 ,-0.9, 6.8
"Blaine, ID - Camas, ID(7)",0808,***,39.2 ,29.8, 51.1,N/A , 1 , 6,13,stable,3.8 ,-1.0, 8.9
"Wicomico, MD - Worcester, MD(7)",0852,***,39.2 ,35.5, 43.3,N/A , 1 , 4,89,stable,1.1 ,-0.7, 3.0
"Greenville (Greenville), SC - Anderson, SC(7)",0182,***,39.1 ,37.4, 40.9,N/A , 1 , 1,417,rising,2.8 ,1.9, 3.8
"Rabun, GA(7)",0268,***,39.1 ,27.8, 53.9,N/A , 1 , 22,9,*,*,*,*
"Clay, IA - Dickinson, IA(7)",0625,***,39 ,31.4, 48,N/A , 1 , 17,22,rising,5.3 ,4.1, 6.5
"Flathead, MT - Lincoln, MT(7)",0728,***,38.8 ,34.2, 43.8,N/A , 1 , 4,58,rising,6.5 ,4.8, 8.1
"Caledonia, VT - Orleans, VT(7)",0103,***,38.5 ,33.3, 44.3,N/A , 1 , 7,43,rising,3.0 ,0.9, 5.2
"Newport, RI(7)",0871,***,38.1 ,33.1, 43.8,N/A , N/A , N/A,46,rising,2.1 ,0.1, 4.2
"Harford, MD - Cecil, MD(7)",0875,***,37.9 ,35.2, 40.7,N/A , 1 , 4,156,rising,2.8 ,1.7, 3.9
"Phelps, NE - Furnas, NE(7)",0616,***,37.8 ,26.2, 53,N/A , 1 , 16,8,rising,5.6 ,0.8, 10.6
"Floyd, IA - Chickasaw, IA(7)",0634,***,37.8 ,28.4, 49.4,N/A , 1 , 25,12,rising,4.8 ,3.2, 6.4
"St. Johns (St. Augustine), FL - Putnam, FL(7)",0251,***,37.8 ,35, 40.6,N/A , 1 , 3,157,rising,4.5 ,3.7, 5.4
"Nevada, CA - Sierra, CA(7)",0753,***,37.6 ,32.9, 42.7,N/A , 2 , 9,60,rising,2.7 ,1.1, 4.4
"Kent, MD(7)",0124,***,37.2 ,27.5, 49.8,N/A , 1 , 6,12,stable,2.6 ,-2.6, 8.1
"Watauga, NC - Ashe, NC(7)",0194,***,37.1 ,31.6, 43.4,N/A , 1 , 12,37,rising,5.4 ,3.0, 7.8
"Queen Annes, MD - Talbot, MD(7)",0107,***,37.1 ,33.3, 41.2,N/A , 1 , 4,78,stable,-0.8 ,-17.9, 19.8
"Mitchell, IA(7)",0665,***,36.9 ,21.7, 58.5,N/A , 1 , 33,4,*,*,*,*
"Chittenden (Burlington), VT - Franklin, VT(7)",0049,***,36.8 ,33.7, 40.2,N/A , 2 , 7,109,rising,2.2 ,0.6, 3.8
"Brevard (Palm Bay), FL - Indian River, FL(7)",0237,***,36.6 ,34.9, 38.4,N/A , 1 , 3,418,stable,-3.5 ,-8.8, 2.2
"Boone, IN(7)",0401,***,36.4 ,30.1, 43.6,N/A , 1 , 7,24,stable,2.2 ,-1.3, 5.8
"Custer, NE - Valley, NE(7)",0594,***,36.4 ,25.9, 49.7,N/A , 1 , 16,10,rising,8.8 ,4.0, 13.8
"Klamath, OR - Lake, OR(7)",0743,***,36.2 ,30.6, 42.6,N/A , 1 , 3,34,stable,-15.0 ,-29.7, 2.8
"Polk, NC(7)",0191,***,36.2 ,26.2, 49.2,N/A , 1 , 24,12,*,*,*,*
"McLean (Bloomington), IL - Woodford, IL(7)",0338,***,36.2 ,32.7, 39.9,N/A , 1 , 6,85,rising,3.1 ,1.6, 4.7
"Iredell (Statesville), NC - Alexander, NC(7)",0192,***,36.1 ,32.8, 39.6,N/A , 1 , 8,92,rising,5.1 ,3.1, 7.2
"Taylor, KY - Adair, KY(7)",0082,***,35.9 ,30.3, 42.3,N/A , 1 , 16,32,rising,3.0 ,0.6, 5.5
"Rutland, VT(7)",0122,***,35.9 ,30, 42.7,N/A , 2 , 7,30,stable,1.8 ,-1.0, 4.7
"Cherokee, GA - Douglas, GA(7)",0826,***,35.7 ,33.5, 38.1,N/A , 3 , 8,207,stable,-6.7 ,-15.6, 3.1
"Santa Barbara (Santa Barbara), CA - San Luis Obispo, CA(7)",0781,***,35.7 ,33.9, 37.6,N/A , 4 , 9,307,stable,-1.5 ,-3.9, 1.0
"Sarasota (Sarasota), FL - Charlotte, FL(7)",0213,***,35.5 ,33.8, 37.4,N/A , 1 , 3,453,rising,5.4 ,3.7, 7.1
"Franklin, KY - Anderson, KY(7)",0114,***,35.5 ,30.2, 41.5,N/A , 1 , 15,35,rising,2.7 ,0.6, 4.8
"Atlantic (Atlantic City), NJ - Cape May, NJ(7)",0064,***,35.3 ,32.9, 37.8,N/A , 1 , 2,177,rising,2.2 ,1.0, 3.4
"Butte (Chico), CA - Tehama, CA(7)",0697,***,35.2 ,32.5, 38.1,N/A , 4 , 9,139,rising,4.3 ,3.0, 5.6
"Carroll, GA - Haralson, GA(7)",0896,***,35 ,30.9, 39.6,N/A , 2 , 10,53,rising,2.7 ,1.1, 4.4
"Augusta, VA - Staunton City, VA(7)",0097,***,35 ,31.4, 38.9,N/A , 1 , 4,76,rising,5.5 ,3.3, 7.7
"Shasta (Redding), CA - Trinity, CA(7)",0710,***,34.9 ,31.6, 38.5,N/A , 4 , 10,94,rising,2.6 ,0.9, 4.2
"Miami (Piqua), OH - Shelby, OH(7)",0376,***,34.5 ,30.6, 38.7,N/A , 1 , 4,63,rising,5.7 ,3.0, 8.4
"Sussex, DE - Kent, DE(7)",0003,***,34.4 ,32.2, 36.9,N/A , N/A , N/A,193,stable,0.4 ,-2.6, 3.5
"Franklin, ID - Bear Lake, ID(7)",0715,***,34.4 ,23.9, 48,N/A , 1 , 9,7,stable,3.4 ,-1.7, 8.6
"Lawrence, SD(7)",0586,***,34.3 ,25, 46.1,N/A , 1 , 9,11,stable,4.5 ,-0.4, 9.6
"Clallam, WA - Jefferson, WA(7)",0785,***,34.3 ,30.1, 38.9,N/A , 1 , 3,65,rising,2.6 ,1.6, 3.6
"McDowell, NC(7)",0261,***,34 ,27.5, 41.7,N/A , 1 , 21,20,stable,2.0 ,-2.1, 6.3
"Windham, VT(7)",0877,***,34 ,27, 42.4,N/A , 2 , 7,19,stable,1.4 ,-1.9, 4.9
"Spartanburg (Spartanburg), SC - Cherokee, SC(7)",0898,***,33.9 ,31.5, 36.5,N/A , 2 , 2,154,stable,2.5 ,0.0, 5.1
"Adams, IL - Pike, IL(7)",0353,***,33.8 ,28.7, 39.6,N/A , 1 , 16,34,rising,5.4 ,2.8, 8.0
"Clinton, KY - Cumberland, KY(7)",0104,***,33.8 ,22.8, 48.3,N/A , 1 , 29,7,stable,1.3 ,-3.4, 6.3
"Adams, NE - Clay, NE(7)",0564,***,33.7 ,26.7, 42,N/A , 1 , 13,18,stable,2.4 ,-1.4, 6.3
"Chase, NE - Dundy, NE(7)",0654,***,33.6 ,18.4, 57.6,N/A , 1 , 22,3,*,*,*,*
"Yancey, NC - Avery, NC(7)",0240,***,33.4 ,27.4, 40.5,N/A , 1 , 22,25,rising,4.6 ,1.8, 7.5
"Clayton, IA - Delaware, IA(7)",0350,***,33.4 ,25.6, 42.8,N/A , 2 , 29,15,rising,3.8 ,2.3, 5.3
"Grand Traverse, MI - Manistee, MI(7)",0271,***,33.3 ,30.1, 36.8,N/A , 1 , 1,92,stable,1.3 ,-0.6, 3.2
"Catawba (Hickory), NC - Burke, NC(7)",0229,***,33.3 ,30.8, 35.9,N/A , 1 , 11,141,rising,3.1 ,1.8, 4.4
"Bonneville, ID - Madison, ID(7)",0722,***,33.1 ,29.5, 37,N/A , 1 , 5,64,rising,3.1 ,1.3, 5.0
"Carroll, IA - Sac, IA(7)",0633,***,32.9 ,25.9, 41.4,N/A , 3 , 27,18,rising,4.0 ,2.5, 5.6
"Brown, SD - Spink, SD(7)",0572,***,32.9 ,27, 39.6,N/A , 1 , 7,26,rising,5.7 ,2.7, 8.7
