"State"	"State Code"	"County"	"County Code"	"Avg Daily Precipitation (mm)"
	"Alabama"	"01"	"Autauga County, AL"	"01001"	3.77
	"Alabama"	"01"	"Baldwin County, AL"	"01003"	4.11
	"Alabama"	"01"	"Barbour County, AL"	"01005"	3.37
	"Alabama"	"01"	"Bibb County, AL"	"01007"	3.96
	"Alabama"	"01"	"Blount County, AL"	"01009"	3.67
	"Alabama"	"01"	"Bullock County, AL"	"01011"	3.44
	"Alabama"	"01"	"Butler County, AL"	"01013"	3.98
	"Alabama"	"01"	"Calhoun County, AL"	"01015"	3.29
	"Alabama"	"01"	"Chambers County, AL"	"01017"	3.50
	"Alabama"	"01"	"Cherokee County, AL"	"01019"	3.40
	"Alabama"	"01"	"Chilton County, AL"	"01021"	3.86
	"Alabama"	"01"	"Choctaw County, AL"	"01023"	4.10
	"Alabama"	"01"	"Clarke County, AL"	"01025"	3.76
	"Alabama"	"01"	"Clay County, AL"	"01027"	3.69
	"Alabama"	"01"	"Cleburne County, AL"	"01029"	3.43
	"Alabama"	"01"	"Coffee County, AL"	"01031"	3.83
	"Alabama"	"01"	"Colbert County, AL"	"01033"	3.64
	"Alabama"	"01"	"Conecuh County, AL"	"01035"	4.06
	"Alabama"	"01"	"Coosa County, AL"	"01037"	3.63
	"Alabama"	"01"	"Covington County, AL"	"01039"	4.21
	"Alabama"	"01"	"Crenshaw County, AL"	"01041"	3.93
	"Alabama"	"01"	"Cullman County, AL"	"01043"	3.77
	"Alabama"	"01"	"Dale County, AL"	"01045"	3.52
	"Alabama"	"01"	"Dallas County, AL"	"01047"	3.73
	"Alabama"	"01"	"DeKalb County, AL"	"01049"	3.41
	"Alabama"	"01"	"Elmore County, AL"	"01051"	3.60
	"Alabama"	"01"	"Escambia County, AL"	"01053"	4.04
	"Alabama"	"01"	"Etowah County, AL"	"01055"	3.32
	"Alabama"	"01"	"Fayette County, AL"	"01057"	3.86
	"Alabama"	"01"	"Franklin County, AL"	"01059"	3.68
	"Alabama"	"01"	"Geneva County, AL"	"01061"	3.64
	"Alabama"	"01"	"Greene County, AL"	"01063"	3.77
	"Alabama"	"01"	"Hale County, AL"	"01065"	3.84
	"Alabama"	"01"	"Henry County, AL"	"01067"	3.40
	"Alabama"	"01"	"Houston County, AL"	"01069"	3.48
	"Alabama"	"01"	"Jackson County, AL"	"01071"	3.46
	"Alabama"	"01"	"Jefferson County, AL"	"01073"	3.61
	"Alabama"	"01"	"Lamar County, AL"	"01075"	3.87
	"Alabama"	"01"	"Lauderdale County, AL"	"01077"	3.62
	"Alabama"	"01"	"Lawrence County, AL"	"01079"	3.67
	"Alabama"	"01"	"Lee County, AL"	"01081"	3.45
	"Alabama"	"01"	"Limestone County, AL"	"01083"	3.61
	"Alabama"	"01"	"Lowndes County, AL"	"01085"	3.66
	"Alabama"	"01"	"Macon County, AL"	"01087"	3.38
	"Alabama"	"01"	"Madison County, AL"	"01089"	3.49
	"Alabama"	"01"	"Marengo County, AL"	"01091"	3.84
	"Alabama"	"01"	"Marion County, AL"	"01093"	3.85
	"Alabama"	"01"	"Marshall County, AL"	"01095"	3.44
	"Alabama"	"01"	"Mobile County, AL"	"01097"	4.18
	"Alabama"	"01"	"Monroe County, AL"	"01099"	3.71
	"Alabama"	"01"	"Montgomery County, AL"	"01101"	3.62
	"Alabama"	"01"	"Morgan County, AL"	"01103"	3.56
	"Alabama"	"01"	"Perry County, AL"	"01105"	3.91
	"Alabama"	"01"	"Pickens County, AL"	"01107"	3.79
	"Alabama"	"01"	"Pike County, AL"	"01109"	3.66
	"Alabama"	"01"	"Randolph County, AL"	"01111"	3.49
	"Alabama"	"01"	"Russell County, AL"	"01113"	3.34
	"Alabama"	"01"	"St. Clair County, AL"	"01115"	3.58
	"Alabama"	"01"	"Shelby County, AL"	"01117"	3.66
	"Alabama"	"01"	"Sumter County, AL"	"01119"	3.91
	"Alabama"	"01"	"Talladega County, AL"	"01121"	3.51
	"Alabama"	"01"	"Tallapoosa County, AL"	"01123"	3.62
	"Alabama"	"01"	"Tuscaloosa County, AL"	"01125"	3.67
	"Alabama"	"01"	"Walker County, AL"	"01127"	3.70
	"Alabama"	"01"	"Washington County, AL"	"01129"	4.11
	"Alabama"	"01"	"Wilcox County, AL"	"01131"	3.73
	"Alabama"	"01"	"Winston County, AL"	"01133"	3.91
	"Arizona"	"04"	"Apache County, AZ"	"04001"	0.76
	"Arizona"	"04"	"Cochise County, AZ"	"04003"	0.86
	"Arizona"	"04"	"Coconino County, AZ"	"04005"	0.84
	"Arizona"	"04"	"Gila County, AZ"	"04007"	1.18
	"Arizona"	"04"	"Graham County, AZ"	"04009"	0.97
	"Arizona"	"04"	"Greenlee County, AZ"	"04011"	1.18
	"Arizona"	"04"	"La Paz County, AZ"	"04012"	0.41
	"Arizona"	"04"	"Maricopa County, AZ"	"04013"	0.54
	"Arizona"	"04"	"Mohave County, AZ"	"04015"	0.70
	"Arizona"	"04"	"Navajo County, AZ"	"04017"	0.74
	"Arizona"	"04"	"Pima County, AZ"	"04019"	0.74
	"Arizona"	"04"	"Pinal County, AZ"	"04021"	0.71
	"Arizona"	"04"	"Santa Cruz County, AZ"	"04023"	1.01
	"Arizona"	"04"	"Yavapai County, AZ"	"04025"	0.97
	"Arizona"	"04"	"Yuma County, AZ"	"04027"	0.32
	"Arkansas"	"05"	"Arkansas County, AR"	"05001"	3.46
	"Arkansas"	"05"	"Ashley County, AR"	"05003"	3.59
	"Arkansas"	"05"	"Baxter County, AR"	"05005"	3.27
	"Arkansas"	"05"	"Benton County, AR"	"05007"	3.30
	"Arkansas"	"05"	"Boone County, AR"	"05009"	3.22
	"Arkansas"	"05"	"Bradley County, AR"	"05011"	3.74
	"Arkansas"	"05"	"Calhoun County, AR"	"05013"	3.75
	"Arkansas"	"05"	"Carroll County, AR"	"05015"	3.27
	"Arkansas"	"05"	"Chicot County, AR"	"05017"	3.46
	"Arkansas"	"05"	"Clark County, AR"	"05019"	3.90
	"Arkansas"	"05"	"Clay County, AR"	"05021"	3.43
	"Arkansas"	"05"	"Cleburne County, AR"	"05023"	3.67
	"Arkansas"	"05"	"Cleveland County, AR"	"05025"	3.75
	"Arkansas"	"05"	"Columbia County, AR"	"05027"	3.60
	"Arkansas"	"05"	"Conway County, AR"	"05029"	3.65
	"Arkansas"	"05"	"Craighead County, AR"	"05031"	3.42
	"Arkansas"	"05"	"Crawford County, AR"	"05033"	3.45
	"Arkansas"	"05"	"Crittenden County, AR"	"05035"	3.25
	"Arkansas"	"05"	"Cross County, AR"	"05037"	3.38
	"Arkansas"	"05"	"Dallas County, AR"	"05039"	3.83
	"Arkansas"	"05"	"Desha County, AR"	"05041"	3.52
	"Arkansas"	"05"	"Drew County, AR"	"05043"	3.64
	"Arkansas"	"05"	"Faulkner County, AR"	"05045"	3.75
	"Arkansas"	"05"	"Franklin County, AR"	"05047"	3.44
	"Arkansas"	"05"	"Fulton County, AR"	"05049"	3.48
	"Arkansas"	"05"	"Garland County, AR"	"05051"	3.89
	"Arkansas"	"05"	"Grant County, AR"	"05053"	3.76
	"Arkansas"	"05"	"Greene County, AR"	"05055"	3.50
	"Arkansas"	"05"	"Hempstead County, AR"	"05057"	3.52
	"Arkansas"	"05"	"Hot Spring County, AR"	"05059"	3.95
	"Arkansas"	"05"	"Howard County, AR"	"05061"	3.56
	"Arkansas"	"05"	"Independence County, AR"	"05063"	3.52
	"Arkansas"	"05"	"Izard County, AR"	"05065"	3.35
	"Arkansas"	"05"	"Jackson County, AR"	"05067"	3.56
	"Arkansas"	"05"	"Jefferson County, AR"	"05069"	3.51
	"Arkansas"	"05"	"Johnson County, AR"	"05071"	3.57
	"Arkansas"	"05"	"Lafayette County, AR"	"05073"	3.52
	"Arkansas"	"05"	"Lawrence County, AR"	"05075"	3.57
	"Arkansas"	"05"	"Lee County, AR"	"05077"	3.45
	"Arkansas"	"05"	"Lincoln County, AR"	"05079"	3.54
	"Arkansas"	"05"	"Little River County, AR"	"05081"	3.27
	"Arkansas"	"05"	"Logan County, AR"	"05083"	3.36
	"Arkansas"	"05"	"Lonoke County, AR"	"05085"	3.55
	"Arkansas"	"05"	"Madison County, AR"	"05087"	3.54
	"Arkansas"	"05"	"Marion County, AR"	"05089"	3.19
	"Arkansas"	"05"	"Miller County, AR"	"05091"	3.31
	"Arkansas"	"05"	"Mississippi County, AR"	"05093"	3.27
	"Arkansas"	"05"	"Monroe County, AR"	"05095"	3.56
	"Arkansas"	"05"	"Montgomery County, AR"	"05097"	4.03
	"Arkansas"	"05"	"Nevada County, AR"	"05099"	3.73
	"Arkansas"	"05"	"Newton County, AR"	"05101"	3.44
	"Arkansas"	"05"	"Ouachita County, AR"	"05103"	3.73
	"Arkansas"	"05"	"Perry County, AR"	"05105"	3.48
	"Arkansas"	"05"	"Phillips County, AR"	"05107"	3.50
	"Arkansas"	"05"	"Pike County, AR"	"05109"	3.91
	"Arkansas"	"05"	"Poinsett County, AR"	"05111"	3.32
	"Arkansas"	"05"	"Polk County, AR"	"05113"	4.03
	"Arkansas"	"05"	"Pope County, AR"	"05115"	3.46
	"Arkansas"	"05"	"Prairie County, AR"	"05117"	3.60
	"Arkansas"	"05"	"Pulaski County, AR"	"05119"	3.56
	"Arkansas"	"05"	"Randolph County, AR"	"05121"	3.61
	"Arkansas"	"05"	"St. Francis County, AR"	"05123"	3.37
	"Arkansas"	"05"	"Saline County, AR"	"05125"	3.71
	"Arkansas"	"05"	"Scott County, AR"	"05127"	3.65
	"Arkansas"	"05"	"Searcy County, AR"	"05129"	3.33
	"Arkansas"	"05"	"Sebastian County, AR"	"05131"	3.27
	"Arkansas"	"05"	"Sevier County, AR"	"05133"	3.34
	"Arkansas"	"05"	"Sharp County, AR"	"05135"	3.51
	"Arkansas"	"05"	"Stone County, AR"	"05137"	3.46
	"Arkansas"	"05"	"Union County, AR"	"05139"	3.60
	"Arkansas"	"05"	"Van Buren County, AR"	"05141"	3.84
	"Arkansas"	"05"	"Washington County, AR"	"05143"	3.41
	"Arkansas"	"05"	"White County, AR"	"05145"	3.67
	"Arkansas"	"05"	"Woodruff County, AR"	"05147"	3.54
	"Arkansas"	"05"	"Yell County, AR"	"05149"	3.45
	"California"	"06"	"Alameda County, CA"	"06001"	1.12
	"California"	"06"	"Alpine County, CA"	"06003"	2.58
	"California"	"06"	"Amador County, CA"	"06005"	2.32
	"California"	"06"	"Butte County, CA"	"06007"	3.17
	"California"	"06"	"Calaveras County, CA"	"06009"	2.48
	"California"	"06"	"Colusa County, CA"	"06011"	1.32
	"California"	"06"	"Contra Costa County, CA"	"06013"	1.11
	"California"	"06"	"Del Norte County, CA"	"06015"	6.13
	"California"	"06"	"El Dorado County, CA"	"06017"	2.75
	"California"	"06"	"Fresno County, CA"	"06019"	1.40
	"California"	"06"	"Glenn County, CA"	"06021"	1.50
	"California"	"06"	"Humboldt County, CA"	"06023"	4.28
	"California"	"06"	"Imperial County, CA"	"06025"	0.23
	"California"	"06"	"Inyo County, CA"	"06027"	0.53
	"California"	"06"	"Kern County, CA"	"06029"	0.60
	"California"	"06"	"Kings County, CA"	"06031"	0.49
	"California"	"06"	"Lake County, CA"	"06033"	2.56
	"California"	"06"	"Lassen County, CA"	"06035"	0.90
	"California"	"06"	"Los Angeles County, CA"	"06037"	0.95
	"California"	"06"	"Madera County, CA"	"06039"	1.70
	"California"	"06"	"Marin County, CA"	"06041"	2.38
	"California"	"06"	"Mariposa County, CA"	"06043"	2.26
	"California"	"06"	"Mendocino County, CA"	"06045"	3.42
	"California"	"06"	"Merced County, CA"	"06047"	0.72
	"California"	"06"	"Modoc County, CA"	"06049"	0.98
	"California"	"06"	"Mono County, CA"	"06051"	1.18
	"California"	"06"	"Monterey County, CA"	"06053"	1.19
	"California"	"06"	"Napa County, CA"	"06055"	2.32
	"California"	"06"	"Nevada County, CA"	"06057"	3.17
	"California"	"06"	"Orange County, CA"	"06059"	0.94
	"California"	"06"	"Placer County, CA"	"06061"	2.79
	"California"	"06"	"Plumas County, CA"	"06063"	2.48
	"California"	"06"	"Riverside County, CA"	"06065"	0.49
	"California"	"06"	"Sacramento County, CA"	"06067"	1.28
	"California"	"06"	"San Benito County, CA"	"06069"	0.94
	"California"	"06"	"San Bernardino County, CA"	"06071"	0.43
	"California"	"06"	"San Diego County, CA"	"06073"	0.90
	"California"	"06"	"San Francisco County, CA"	"06075"	1.43
	"California"	"06"	"San Joaquin County, CA"	"06077"	0.96
	"California"	"06"	"San Luis Obispo County, CA"	"06079"	1.02
	"California"	"06"	"San Mateo County, CA"	"06081"	1.75
	"California"	"06"	"Santa Barbara County, CA"	"06083"	1.36
	"California"	"06"	"Santa Clara County, CA"	"06085"	1.36
	"California"	"06"	"Santa Cruz County, CA"	"06087"	2.38
	"California"	"06"	"Shasta County, CA"	"06089"	3.21
	"California"	"06"	"Sierra County, CA"	"06091"	2.80
	"California"	"06"	"Siskiyou County, CA"	"06093"	2.66
	"California"	"06"	"Solano County, CA"	"06095"	1.41
	"California"	"06"	"Sonoma County, CA"	"06097"	2.80
	"California"	"06"	"Stanislaus County, CA"	"06099"	0.82
	"California"	"06"	"Sutter County, CA"	"06101"	1.25
	"California"	"06"	"Tehama County, CA"	"06103"	2.34
	"California"	"06"	"Trinity County, CA"	"06105"	3.50
	"California"	"06"	"Tulare County, CA"	"06107"	1.36
	"California"	"06"	"Tuolumne County, CA"	"06109"	2.95
	"California"	"06"	"Ventura County, CA"	"06111"	1.29
	"California"	"06"	"Yolo County, CA"	"06113"	1.32
	"California"	"06"	"Yuba County, CA"	"06115"	2.50
	"Colorado"	"08"	"Adams County, CO"	"08001"	1.02
	"Colorado"	"08"	"Alamosa County, CO"	"08003"	0.64
	"Colorado"	"08"	"Arapahoe County, CO"	"08005"	1.10
	"Colorado"	"08"	"Archuleta County, CO"	"08007"	1.58
	"Colorado"	"08"	"Baca County, CO"	"08009"	1.11
	"Colorado"	"08"	"Bent County, CO"	"08011"	0.93
	"Colorado"	"08"	"Boulder County, CO"	"08013"	1.49
	"Colorado"	"08"	"Chaffee County, CO"	"08015"	1.16
	"Colorado"	"08"	"Cheyenne County, CO"	"08017"	1.19
	"Colorado"	"08"	"Clear Creek County, CO"	"08019"	1.78
	"Colorado"	"08"	"Conejos County, CO"	"08021"	1.08
	"Colorado"	"08"	"Costilla County, CO"	"08023"	1.14
	"Colorado"	"08"	"Crowley County, CO"	"08025"	0.85
	"Colorado"	"08"	"Custer County, CO"	"08027"	1.35
	"Colorado"	"08"	"Delta County, CO"	"08029"	1.17
	"Colorado"	"08"	"Denver County, CO"	"08031"	1.01
	"Colorado"	"08"	"Dolores County, CO"	"08033"	1.60
	"Colorado"	"08"	"Douglas County, CO"	"08035"	1.22
	"Colorado"	"08"	"Eagle County, CO"	"08037"	1.57
	"Colorado"	"08"	"Elbert County, CO"	"08039"	1.13
	"Colorado"	"08"	"El Paso County, CO"	"08041"	1.10
	"Colorado"	"08"	"Fremont County, CO"	"08043"	0.93
	"Colorado"	"08"	"Garfield County, CO"	"08045"	1.61
	"Colorado"	"08"	"Gilpin County, CO"	"08047"	1.65
	"Colorado"	"08"	"Grand County, CO"	"08049"	1.88
	"Colorado"	"08"	"Gunnison County, CO"	"08051"	1.43
	"Colorado"	"08"	"Hinsdale County, CO"	"08053"	1.88
	"Colorado"	"08"	"Huerfano County, CO"	"08055"	1.20
	"Colorado"	"08"	"Jackson County, CO"	"08057"	1.96
	"Colorado"	"08"	"Jefferson County, CO"	"08059"	1.26
	"Colorado"	"08"	"Kiowa County, CO"	"08061"	1.04
	"Colorado"	"08"	"Kit Carson County, CO"	"08063"	1.28
	"Colorado"	"08"	"Lake County, CO"	"08065"	1.71
	"Colorado"	"08"	"La Plata County, CO"	"08067"	1.50
	"Colorado"	"08"	"Larimer County, CO"	"08069"	1.54
	"Colorado"	"08"	"Las Animas County, CO"	"08071"	1.03
	"Colorado"	"08"	"Lincoln County, CO"	"08073"	1.04
	"Colorado"	"08"	"Logan County, CO"	"08075"	1.19
	"Colorado"	"08"	"Mesa County, CO"	"08077"	1.23
	"Colorado"	"08"	"Mineral County, CO"	"08079"	1.86
	"Colorado"	"08"	"Moffat County, CO"	"08081"	1.03
