Incidence Rate Report for United States by County

"Melanoma of the Skin (All Stages^), 2014-2018"

"All Races (includes Hispanic), Both Sexes, All Ages"

Sorted by Rate

State, FIPS,Met Healthy People Objective of ***?,"Age-Adjusted Incidence Rate([rate note]) - cases per 100,000","Lower 95% Confidence Interval","Upper 95% Confidence Interval","CI*Rank([rank note])","Lower CI (CI*Rank)","Upper CI (CI*Rank)",Average Annual Count,Recent Trend,"Recent 5-Year Trend ([trend note]) in Incidence Rates","Lower 95% Confidence Interval","Upper 95% Confidence Interval"
"US (SEER+NPCR)(1)",00000,***,22.6 ,22.5, 22.7,N/A , N/A , N/A,83620,stable,0.2 ,-2.5, 2.9
"Lexington City, Virginia(6)",51678,***,83.4 ,50.4, 130.1,N/A , 1 , 29,5,*,*,*,*
"Summit County, Utah(7)",49043,***,68.9 ,57.8, 81.5,N/A , 1 , 3,32,stable,-11.9 ,-30.3, 11.2
"Beaver County, Utah(7)",49001,***,61.8 ,37.6, 95.7,N/A , 1 , 18,4,*,*,*,*
"James City County, Virginia(6)",51095,***,58.9 ,52.4, 66.1,N/A , 1 , 5,68,rising,5.7 ,2.5, 9.0
"Lumpkin County, Georgia(7)",13187,***,58 ,46.6, 71.4,N/A , 1 , 15,20,rising,3.9 ,1.6, 6.4
"Grand Isle County, Vermont(6)",50013,***,57.8 ,35.2, 90,N/A , 1 , 13,5,*,*,*,*
"Forsyth County, Georgia(7)",13117,***,57.8 ,53.3, 62.6,N/A , 1 , 6,127,stable,-6.1 ,-12.4, 0.6
"Marion County, Kentucky(7)",21155,***,57.2 ,43.4, 74.1,N/A , 1 , 22,12,*,*,*,*
"Pickens County, Georgia(7)",13227,***,56.6 ,46.6, 68.2,N/A , 1 , 14,26,rising,6.2 ,2.1, 10.4
"Teton County, Wyoming(6)",56039,***,55.9 ,43.3, 71.2,N/A , 1 , 1,14,stable,4.4 ,-1.6, 10.7
"Marin County, California(7)",06041,***,55.9 ,52.4, 59.6,N/A , 1 , 1,210,rising,2.3 ,1.0, 3.6
"Jefferson County, Montana(6)",30043,***,54.6 ,37.6, 77,N/A , 1 , 8,8,*,*,*,*
"Piatt County, Illinois(6)",17147,***,53.4 ,39, 71.5,N/A , 1 , 23,10,rising,5.9 ,0.9, 11.2
"Cape May County, New Jersey(7)",34009,***,53.1 ,47.6, 59.2,N/A , 1 , 1,82,rising,3.1 ,1.5, 4.7
"Nuckolls County, Nebraska(6)",31129,***,51.6 ,27.3, 90.5,N/A , 1 , 27,3,*,*,*,*
"Lamoille County, Vermont(6)",50015,***,51.4 ,40.4, 64.7,N/A , 1 , 8,16,stable,2.2 ,-0.6, 5.1
"Plymouth County, Iowa(7)",19149,***,49.8 ,38.6, 63.3,N/A , 1 , 24,15,*,*,*,*
"White County, Georgia(7)",13311,***,49.5 ,39.4, 61.4,N/A , 1 , 29,19,*,*,*,*
"Towns County, Georgia(7)",13281,***,49.3 ,32.7, 72.2,N/A , 1 , 54,9,stable,-22.4 ,-46.8, 13.1
"Dawson County, Georgia(7)",13085,***,49.2 ,37.9, 62.9,N/A , 1 , 28,15,stable,4.1 ,0.0, 8.4
"Taylor County, Kentucky(7)",21217,***,49.2 ,37.9, 62.8,N/A , 1 , 33,14,rising,6.3 ,2.3, 10.5
"Davis County, Utah(7)",49011,***,48.9 ,45.3, 52.7,N/A , 2 , 10,141,rising,5.1 ,4.1, 6.1
"Ford County, Illinois(6)",17053,***,48.9 ,34.8, 67.1,N/A , 1 , 48,9,*,*,*,*
"Worcester County, Maryland(6)",24047,***,48.9 ,41.6, 57.2,N/A , 1 , 5,41,stable,1.3 ,-1.0, 3.6
"Queen Annes County, Maryland(6)",24035,***,48.4 ,40.7, 57.3,N/A , 1 , 6,30,stable,-6.6 ,-26.3, 18.6
"Gunnison County, Colorado(6)",08051,***,48.4 ,33.8, 67.2,N/A , 1 , 10,8,stable,1.9 ,-3.6, 7.9
"Sioux County, Iowa(7)",19167,***,48.4 ,38.1, 60.5,N/A , 1 , 28,17,rising,5.3 ,3.4, 7.2
"Morgan County, Utah(7)",49029,***,48.3 ,30.6, 72.1,N/A , 1 , 20,5,*,*,*,*
"Washington County, Utah(7)",49053,***,47.9 ,43.4, 52.8,N/A , 2 , 11,94,rising,5.0 ,3.8, 6.2
"Wasatch County, Utah(7)",49051,***,47.6 ,36.4, 61.2,N/A , 2 , 17,13,*,*,*,*
"Cache County, Utah(7)",49005,***,47.5 ,41.2, 54.4,N/A , 2 , 13,43,rising,5.1 ,3.6, 6.7
"Howard County, Iowa(7)",19089,***,47.3 ,29.9, 71.2,N/A , 1 , 65,5,*,*,*,*
"Cherokee County, Georgia(7)",13057,***,47.2 ,43.4, 51.3,N/A , 3 , 13,121,stable,-7.0 ,-16.1, 3.0
"Delaware County, Iowa(7)",19055,***,47 ,33.6, 64,N/A , 1 , 44,9,rising,5.4 ,3.3, 7.4
"De Witt County, Illinois(6)",17039,***,47 ,33.7, 63.9,N/A , 1 , 47,9,stable,5.2 ,-1.2, 12.1
"Ouray County, Colorado(6)",08091,***,46.9 ,23.5, 86.1,N/A , 1 , 32,3,*,*,*,*
"Iron County, Utah(7)",49021,***,46.9 ,37.9, 57.1,N/A , 2 , 15,20,rising,2.8 ,0.9, 4.6
"Dickinson County, Iowa(7)",19059,***,46.7 ,34, 62.8,N/A , 1 , 44,11,*,*,*,*
"Poquoson City, Virginia(6)",51735,***,46.6 ,32.1, 66,N/A , 1 , 51,7,stable,3.2 ,-1.3, 7.9
"Greenville County, South Carolina(6)",45045,***,46.6 ,44, 49.2,N/A , 1 , 2,267,rising,3.5 ,2.2, 4.7
"Dukes County, Massachusetts(7)",25007,***,46.5 ,34.3, 62.1,N/A , 1 , 2,11,stable,1.9 ,-0.7, 4.6
"Hall County, Georgia(7)",13139,***,45.9 ,41.9, 50.2,N/A , 3 , 15,98,rising,3.3 ,2.2, 4.4
"Orange County, Vermont(6)",50017,***,45.9 ,36.3, 57.4,N/A , 1 , 10,18,rising,4.6 ,0.5, 8.9
"Williamsburg City, Virginia(6)",51830,***,45.8 ,31.5, 65,N/A , 1 , 51,7,rising,4.4 ,0.3, 8.7
"Caribou County, Idaho(7)",16029,***,44.8 ,25.4, 73.2,N/A , 1 , 24,3,*,*,*,*
"Sonoma County, California(7)",06097,***,44.3 ,42, 46.8,N/A , 2 , 7,291,rising,4.3 ,3.1, 5.6
"San Luis Obispo County, California(7)",06079,***,44.2 ,41, 47.5,N/A , 2 , 8,165,rising,2.8 ,0.8, 4.8
"Indian River County, Florida(6)",12061,***,43.9 ,39.9, 48.2,N/A , 1 , 6,122,rising,4.8 ,3.5, 6.1
"Dubuque County, Iowa(7)",19061,***,43.8 ,38.1, 50,N/A , 1 , 22,47,stable,-7.5 ,-20.3, 7.4
"Kane County, Utah(7)",49025,***,43.8 ,26.5, 69.1,N/A , 1 , 21,5,*,*,*,*
"Winneshiek County, Iowa(7)",19191,***,43.6 ,31.8, 58.6,N/A , 1 , 52,11,*,*,*,*
"St. Johns County, Florida(6)",12109,***,43.6 ,40.3, 47.2,N/A , 1 , 5,135,stable,3.0 ,-0.3, 6.3
"Kossuth County, Iowa(7)",19109,***,43.1 ,29.4, 60.9,N/A , 1 , 63,8,*,*,*,*
"Franklin County, Iowa(7)",19069,***,42.8 ,27.8, 63.5,N/A , 1 , 68,6,*,*,*,*
"Mercer County, Illinois(6)",17131,***,42.8 ,30.3, 58.9,N/A , 1 , 66,9,rising,5.4 ,0.6, 10.5
"Union County, South Dakota(6)",46127,***,42.7 ,29.8, 59.5,N/A , 1 , 12,8,*,*,*,*
"Talbot County, Maryland(6)",24041,***,42.6 ,35, 51.7,N/A , 1 , 10,27,stable,-1.6 ,-28.9, 36.3
"Cerro Gordo County, Iowa(7)",19033,***,42.6 ,34.7, 51.8,N/A , 1 , 32,24,rising,4.0 ,2.2, 5.9
"Grant County, South Dakota(6)",46051,***,42.6 ,24.3, 69.7,N/A , 1 , 17,4,*,*,*,*
"Franklin City, Virginia(6)",51620,***,42.5 ,27.2, 64.4,N/A , 1 , 70,5,*,*,*,*
"Clinton County, Kentucky(7)",21053,***,42.5 ,26.9, 64,N/A , 1 , 92,5,*,*,*,*
"Windsor County, Vermont(6)",50027,***,42.2 ,35.8, 49.7,N/A , 2 , 10,34,stable,0.3 ,-2.3, 3.0
"Gloucester County, Virginia(6)",51073,***,42.2 ,34.1, 51.9,N/A , 2 , 27,21,rising,5.4 ,1.7, 9.3
"Weber County, Utah(7)",49057,***,41.9 ,38.2, 45.9,N/A , 6 , 15,97,rising,4.8 ,4.0, 5.6
"Pickens County, South Carolina(6)",45077,***,41.8 ,36.9, 47.1,N/A , 1 , 4,58,rising,2.9 ,0.9, 4.9
"Essex County, Vermont(6)",50009,***,41.7 ,22, 72.4,N/A , 1 , 14,3,stable,4.0 ,-0.8, 8.9
"Leelanau County, Michigan(6)",26089,***,41.7 ,30.9, 55.4,N/A , 1 , 19,14,stable,25.0 ,-11.1, 75.7
"Flathead County, Montana(6)",30029,***,41.6 ,36.3, 47.4,N/A , 1 , 7,50,rising,6.0 ,4.3, 7.7
"Montour County, Pennsylvania(6)",42093,***,41.6 ,30.5, 55.7,N/A , 1 , 36,10,stable,1.9 ,-2.1, 6.1
"Santa Cruz County, California(7)",06087,***,41.5 ,38.2, 45,N/A , 2 , 11,130,rising,4.1 ,2.6, 5.6
"Duchesne County, Utah(7)",49013,***,41.5 ,28.8, 57.6,N/A , 2 , 20,7,*,*,*,*
"Placer County, California(7)",06061,***,41.5 ,38.9, 44.2,N/A , 2 , 10,203,rising,2.1 ,0.9, 3.4
"Kitsap County, Washington(7)",53035,***,41.5 ,38.3, 44.9,N/A , 1 , 3,134,rising,3.3 ,2.6, 4.1
"Grafton County, New Hampshire(6)",33009,***,41.5 ,36.3, 47.2,N/A , 1 , 5,52,stable,-0.5 ,-2.6, 1.7
"Oldham County, Kentucky(7)",21185,***,41.3 ,34.6, 49,N/A , 1 , 42,29,rising,3.6 ,1.6, 5.7
"Major County, Oklahoma(6)",40093,***,41.3 ,25.6, 64,N/A , 1 , 41,5,*,*,*,*
"Spencer County, Kentucky(7)",21215,***,41.3 ,29.4, 56.5,N/A , 1 , 78,9,stable,3.5 ,-0.8, 7.9
"Elmore County, Alabama(6)",01051,***,41 ,35.1, 47.6,N/A , 1 , 9,37,rising,6.7 ,4.1, 9.4
"Salt Lake County, Utah(7)",49035,***,40.9 ,39.1, 42.7,N/A , 7 , 15,412,stable,-3.9 ,-7.6, 0.0
"Gallatin County, Montana(6)",30031,***,40.8 ,35.3, 47,N/A , 1 , 8,41,rising,6.5 ,3.5, 9.6
"Davie County, North Carolina(6)",37059,***,40.7 ,33.2, 49.5,N/A , 1 , 39,23,stable,0.5 ,-2.9, 4.0
"Bennington County, Vermont(6)",50003,***,40.6 ,32.9, 49.9,N/A , 2 , 12,22,stable,-1.7 ,-4.9, 1.7
"Marshall County, Kentucky(7)",21157,***,40.6 ,32.3, 50.6,N/A , 1 , 54,18,stable,12.0 ,-2.1, 28.2
"Cheshire County, New Hampshire(6)",33005,***,40.4 ,34.9, 46.6,N/A , 1 , 6,42,stable,2.2 ,-0.2, 4.7
"Searcy County, Arkansas(6)",05129,***,40.4 ,23.7, 64.8,N/A , 1 , 44,4,*,*,*,*
"Jasper County, Georgia(7)",13159,***,40.3 ,27.8, 56.9,N/A , 1 , 72,7,*,*,*,*
