Demographic Data Report by State
Poverty: Persons below 150% of poverty
"All Ages, All Races (includes Hispanic), Both Sexes"
2015-2019 American Community Survey 5-Year Data
Sorted by Value

State, FIPS,Value (Percent),People (<150% Of Poverty),Rank within US
"United States",00000,22.0,69762719,"N/A"
"Todd County, South Dakota",46121,68.3,6878,"3146 of 3146"
"Shannon County, South Dakota",46113,62.4,8882,"3145 of 3146"
"Wade Hampton Census Area, Alaska",02270,61.3,5021,"3144 of 3146"
"Puerto Rico",72001,60.5,1990218,"3143 of 3146"
"East Carroll Parish, Louisiana",22035,59.3,2621,"3142 of 3146"
"Holmes County, Mississippi",28051,59.1,10048,"3141 of 3146"
"Corson County, South Dakota",46031,58.3,2400,"3140 of 3146"
"Mellette County, South Dakota",46095,57.0,1125,"3139 of 3146"
"Zavala County, Texas",48507,56.5,6711,"3138 of 3146"
"Ziebach County, South Dakota",46137,56.3,1564,"3137 of 3146"
"Claiborne County, Mississippi",28021,55.9,4653,"3136 of 3146"
"Presidio County, Texas",48377,55.8,3888,"3135 of 3146"
"Jackson County, South Dakota",46071,55.2,1760,"3134 of 3146"
"Humphreys County, Mississippi",28053,54.9,4560,"3133 of 3146"
"Tensas Parish, Louisiana",22107,54.7,2486,"3132 of 3146"
"Greene County, Alabama",01063,54.6,4498,"3131 of 3146"
"Clay County, Georgia",13061,53.8,1558,"3130 of 3146"
"Clinch County, Georgia",13065,53.7,3544,"3129 of 3146"
"Buffalo County, South Dakota",46017,53.6,1074,"3128 of 3146"
"Quitman County, Mississippi",28119,53.5,3754,"3127 of 3146"
"Starr County, Texas",48427,53.1,33679,"3126 of 3146"
"Perry County, Alabama",01105,52.9,4481,"3125 of 3146"
"Sioux County, North Dakota",38085,52.9,2271,"3124 of 3146"
"Leflore County, Mississippi",28083,52.9,14762,"3123 of 3146"
"Lee County, Kentucky",21129,52.7,3406,"3122 of 3146"
"Sharkey County, Mississippi",28125,52.4,2253,"3121 of 3146"
"Coahoma County, Mississippi",28027,52.0,11795,"3120 of 3146"
"Brooks County, Texas",48047,51.8,3407,"3119 of 3146"
"Wilkinson County, Mississippi",28157,51.2,3950,"3118 of 3146"
"McCreary County, Kentucky",21147,50.9,8120,"3117 of 3146"
"Clay County, Kentucky",21051,50.8,9633,"3116 of 3146"
"Bell County, Kentucky",21013,50.8,13180,"3115 of 3146"
