Demographic Data Report by State
"Insurance: Percent insured in demographic group, all income levels"
"Ages <65, All Races (includes Hispanic), Both Sexes"
2019 Small Area Health Insurance Estimates Data
Sorted by Value

State, FIPS,Value (Percent),People (Insured),Rank within US
"Norfolk County, Massachusetts",25021,97.6,563836,"1 of 3139"
"Los Alamos County, New Mexico",35028,97.2,15687,"2 of 3139"
"Plymouth County, Massachusetts",25023,97.0,405678,"3 of 3139"
"Middlesex County, Massachusetts",25017,96.9,1279284,"4 of 3139"
"Hampshire County, Massachusetts",25015,96.8,106920,"5 of 3139"
"Carver County, Minnesota",27019,96.7,89331,"6 of 3139"
"Franklin County, Massachusetts",25011,96.7,51449,"6 of 3139"
"Bristol County, Rhode Island",44001,96.6,35950,"8 of 3139"
"Washington County, Rhode Island",44009,96.5,91100,"9 of 3139"
"Worcester County, Massachusetts",25027,96.5,651418,"9 of 3139"
"Saratoga County, New York",36091,96.4,179363,"11 of 3139"
"Bremer County, Iowa",19017,96.3,18046,"12 of 3139"
"Kent County, Rhode Island",44003,96.3,128478,"12 of 3139"
"Barnstable County, Massachusetts",25001,96.2,138103,"14 of 3139"
"Falls Church City, Virginia",51610,96.2,12174,"14 of 3139"
"Monroe County, Illinois",17133,96.2,27313,"14 of 3139"
"Warren County, Iowa",19181,96.2,40552,"14 of 3139"
"Berkshire County, Massachusetts",25003,96.1,86911,"18 of 3139"
"Bristol County, Massachusetts",25005,96.1,438261,"18 of 3139"
"Dallas County, Iowa",19049,96.1,79409,"18 of 3139"
"Essex County, Massachusetts",25009,96.1,612622,"18 of 3139"
"Albany County, New York",36001,96.0,229629,"22 of 3139"
"District of Columbia",11001,96.0,562679,"22 of 3139"
"Waukesha County, Wisconsin",55133,96.0,314847,"22 of 3139"
"Chemung County, New York",36015,95.9,61438,"25 of 3139"
"Erie County, New York",36029,95.9,699779,"25 of 3139"
"Grundy County, Iowa",19075,95.9,9215,"25 of 3139"
"Iowa County, Iowa",19095,95.9,12441,"25 of 3139"
"Nantucket County, Massachusetts",25019,95.9,9289,"25 of 3139"
"Ontario County, New York",36069,95.9,81771,"25 of 3139"
"Ozaukee County, Wisconsin",55089,95.9,67560,"25 of 3139"
"Washington County, Minnesota",27163,95.9,212292,"25 of 3139"
"Calvert County, Maryland",24009,95.8,74526,"33 of 3139"
"Cedar County, Iowa",19031,95.8,14140,"33 of 3139"
"Cortland County, New York",36023,95.8,34570,"33 of 3139"
"Marion County, Iowa",19125,95.8,24934,"33 of 3139"
"Monroe County, New York",36055,95.8,564598,"33 of 3139"
"Newport County, Rhode Island",44005,95.8,58433,"33 of 3139"
"Putnam County, New York",36079,95.8,76825,"33 of 3139"
"Rensselaer County, New York",36083,95.8,121331,"33 of 3139"
"Sherburne County, Minnesota",27141,95.8,80918,"33 of 3139"
"Brown County, Illinois",17009,95.7,3549,"42 of 3139"
"Douglas County, Colorado",08035,95.7,299105,"42 of 3139"
"Gilpin County, Colorado",08047,95.7,4895,"42 of 3139"
"Hampden County, Massachusetts",25013,95.7,355567,"42 of 3139"
"Madison County, New York",36053,95.7,51005,"42 of 3139"
"Niagara County, New York",36063,95.7,158994,"42 of 3139"
"Oldham County, Kentucky",21185,95.7,51990,"42 of 3139"
"Tioga County, New York",36107,95.7,36344,"42 of 3139"
"Warren County, New York",36113,95.7,46979,"42 of 3139"
"Wayne County, New York",36117,95.7,68923,"42 of 3139"
"Chisago County, Minnesota",27025,95.6,44570,"52 of 3139"
"Dakota County, Minnesota",27037,95.6,350553,"52 of 3139"
"Genesee County, New York",36037,95.6,42948,"52 of 3139"
"Honolulu County, Hawaii",15003,95.6,736562,"52 of 3139"
