Demographic Data Report by State
Education: At least bachelors degree
Population Ages 25+
"All Races (includes Hispanic), Both Sexes"
2015-2019 American Community Survey 5-Year Data
Sorted by Value

State, FIPS,Value (Percent),People (Education: At Least Bachelors Degree),Rank within US
"United States",00000,32.1,70920162,"N/A"
"Falls Church City, Virginia",51610,77.6,7430,"1 of 3146"
"Arlington County, Virginia",51013,75.3,130252,"2 of 3146"
"Los Alamos County, New Mexico",35028,67.4,8938,"3 of 3146"
"Alexandria City, Virginia",51510,63.1,75483,"4 of 3146"
"Howard County, Maryland",24027,62.6,134698,"5 of 3146"
"Boulder County, Colorado",08013,62.1,132071,"6 of 3146"
"Fairfax County, Virginia",51059,61.6,480163,"7 of 3146"
"Loudoun County, Virginia",51107,61.3,155565,"8 of 3146"
"New York County, New York",36061,61.3,766048,"9 of 3146"
"Fairfax City, Virginia",51600,60.8,9802,"10 of 3146"
"Pitkin County, Colorado",08097,60.8,8316,"11 of 3146"
"Williamson County, Tennessee",47187,59.8,87566,"12 of 3146"
"Orange County, North Carolina",37135,59.7,53769,"13 of 3146"
"Marin County, California",06041,59.5,113274,"14 of 3146"
"San Miguel County, Colorado",08113,59.4,3593,"15 of 3146"
"Hamilton County, Indiana",18057,59.3,124554,"16 of 3146"
"Montgomery County, Maryland",24031,58.9,422553,"17 of 3146"
"District of Columbia",11001,58.5,289259,"18 of 3146"
"San Francisco County, California",06075,58.1,403716,"19 of 3146"
"Douglas County, Colorado",08035,58.0,128705,"20 of 3146"
"Teton County, Wyoming",56039,57.0,9875,"21 of 3146"
"Williamsburg City, Virginia",51830,56.8,4222,"22 of 3146"
"Middlesex County, Massachusetts",25017,56.3,632232,"23 of 3146"
"Gunnison County, Colorado",08051,56.2,5959,"24 of 3146"
"Johnson County, Kansas",20091,56.0,223462,"25 of 3146"
"Washtenaw County, Michigan",26161,55.9,128223,"26 of 3146"
"Broomfield County, Colorado",08014,55.7,26198,"27 of 3146"
"Albemarle County, Virginia",51003,55.1,40215,"28 of 3146"
"Summit County, Utah",49043,55.0,15046,"29 of 3146"
"Charlottesville City, Virginia",51540,54.9,16679,"30 of 3146"
"Somerset County, New Jersey",34035,54.7,125454,"31 of 3146"
"Delaware County, Ohio",39041,54.3,71553,"32 of 3146"
"Benton County, Oregon",41003,54.1,29976,"33 of 3146"
"Morris County, New Jersey",34027,54.1,186941,"34 of 3146"
"Norfolk County, Massachusetts",25021,53.6,263397,"35 of 3146"
"Tompkins County, New York",36109,53.5,31990,"36 of 3146"
"Forsyth County, Georgia",13117,53.1,78687,"37 of 3146"
"Chester County, Pennsylvania",42029,53.0,187213,"38 of 3146"
"Fulton County, Georgia",13121,52.9,370539,"39 of 3146"
"Nantucket County, Massachusetts",25019,52.8,4328,"40 of 3146"
"Johnson County, Iowa",19103,52.8,46226,"41 of 3146"
"Wake County, North Carolina",37183,52.8,376153,"42 of 3146"
"Hunterdon County, New Jersey",34019,52.7,46791,"43 of 3146"
"King County, Washington",53033,52.5,822615,"44 of 3146"
"Santa Clara County, California",06085,52.4,699520,"45 of 3146"
"Summit County, Colorado",08117,52.4,12232,"46 of 3146"
"Collin County, Texas",48085,52.3,334153,"47 of 3146"
"Oconee County, Georgia",13219,52.3,13063,"48 of 3146"
"Albany County, Wyoming",56001,51.8,11118,"49 of 3146"
"Story County, Iowa",19169,51.6,26227,"50 of 3146"
"Dane County, Wisconsin",55025,51.4,181123,"51 of 3146"
"Chittenden County, Vermont",50007,51.3,54980,"52 of 3146"
"San Mateo County, California",06081,51.0,281049,"53 of 3146"
"James City County, Virginia",51095,50.4,27426,"54 of 3146"
"Dallas County, Iowa",19049,50.4,28669,"55 of 3146"
"Gallatin County, Montana",30031,50.1,34579,"56 of 3146"
"Hennepin County, Minnesota",27053,50.1,432616,"57 of 3146"
"Travis County, Texas",48453,50.0,421360,"58 of 3146"
"Clay County, South Dakota",46027,49.9,3473,"59 of 3146"
"Routt County, Colorado",08107,49.8,9241,"60 of 3146"
"San Juan County, Washington",53055,49.8,6829,"61 of 3146"
"Whitman County, Washington",53075,49.8,12130,"62 of 3146"
"Douglas County, Kansas",20045,49.6,34607,"63 of 3146"
"Denver County, Colorado",08031,49.4,251499,"64 of 3146"
"DuPage County, Illinois",17043,49.4,313945,"65 of 3146"
"Bergen County, New Jersey",34003,49.3,323926,"66 of 3146"
"Montgomery County, Pennsylvania",42091,49.3,285240,"67 of 3146"
"Boone County, Indiana",18011,49.3,21336,"68 of 3146"
"Bristol County, Rhode Island",44001,49.0,16742,"69 of 3146"
"Ozaukee County, Wisconsin",55089,49.0,30196,"70 of 3146"
"Carver County, Minnesota",27019,48.9,32450,"71 of 3146"
"Westchester County, New York",36119,48.9,326933,"72 of 3146"
"Madison County, Mississippi",28089,48.4,33429,"73 of 3146"
"Hampshire County, Massachusetts",25015,48.3,48392,"74 of 3146"
"Durham County, North Carolina",37063,48.2,103332,"75 of 3146"
"Clear Creek County, Colorado",08019,48.1,3546,"76 of 3146"
"Newport County, Rhode Island",44005,48.1,29260,"77 of 3146"
"Fairfield County, Connecticut",09001,47.9,308399,"78 of 3146"
"Ouray County, Colorado",08091,47.8,1840,"79 of 3146"
"Cumberland County, Maine",23005,47.6,100732,"80 of 3146"
"Alameda County, California",06001,47.4,556105,"81 of 3146"
"Cobb County, Georgia",13067,47.4,238686,"82 of 3146"
"Larimer County, Colorado",08069,47.3,107189,"83 of 3146"
"Oakland County, Michigan",26125,47.2,417746,"84 of 3146"
"Eagle County, Colorado",08037,47.2,18161,"85 of 3146"
"York County, Virginia",51199,47.1,21501,"86 of 3146"
"Lexington City, Virginia",51678,46.7,1490,"87 of 3146"
"Mineral County, Colorado",08079,46.5,324,"88 of 3146"
"Fayette County, Georgia",13113,46.2,35275,"89 of 3146"
"Leon County, Florida",12073,46.2,79612,"90 of 3146"
"Fort Bend County, Texas",48157,46.2,226577,"91 of 3146"
"Washington County, Rhode Island",44009,46.1,39895,"92 of 3146"
"Boone County, Missouri",29019,46.1,49297,"93 of 3146"
"Suffolk County, Massachusetts",25025,46.1,254858,"94 of 3146"
"Monmouth County, New Jersey",34025,46.0,200708,"95 of 3146"
"Nassau County, New York",36059,46.0,433413,"96 of 3146"
"Multnomah County, Oregon",41051,45.9,269318,"97 of 3146"
"Monroe County, Indiana",18105,45.7,38637,"98 of 3146"
"Hinsdale County, Colorado",08053,45.7,321,"99 of 3146"
"Riley County, Kansas",20161,45.6,17213,"100 of 3146"
"Lafayette County, Mississippi",28071,45.6,14309,"101 of 3146"
"Montgomery County, Virginia",51121,45.5,25446,"102 of 3146"
"Centre County, Pennsylvania",42027,45.5,44957,"103 of 3146"
"Latah County, Idaho",16057,45.4,10134,"104 of 3146"
"Mecklenburg County, North Carolina",37119,45.4,327148,"105 of 3146"
"Lake County, Illinois",17097,45.3,207440,"106 of 3146"
"Jefferson County, Colorado",08059,45.2,187387,"107 of 3146"
"Denton County, Texas",48121,45.1,246869,"108 of 3146"
"Champaign County, Illinois",17019,45.0,54913,"109 of 3146"
"Dukes County, Massachusetts",25007,44.9,5762,"110 of 3146"
"Olmsted County, Minnesota",27109,44.9,47003,"111 of 3146"
"McLean County, Illinois",17113,44.8,46998,"112 of 3146"
"Leelanau County, Michigan",26089,44.7,7484,"113 of 3146"
"St. Johns County, Florida",12109,44.7,77518,"114 of 3146"
"Waukesha County, Wisconsin",55133,44.5,125457,"115 of 3146"
