
	Screening and Risk Factors Report for United States by County
(2008-2010 County Level Modeled Estimate Combining BRFSS & NHIS)

Ever Smoked
"All Races (includes Hispanic), Both Sexes, Ages 18+"
Healthy People 2020 Objective Number: n/a

Sorted by Percent

County, FIPS,Met Objective?(1),"Model-Based Percent(3)","Lower 95% Confidence Interval","Upper 95% Confidence Interval"
"Potter County, South Dakota",46107,n/a,73.7 ,62.7, 84.6
"Kent County, Texas",48263,n/a,71.4 ,57.2, 85.6
"Mineral County, Nevada",32021,n/a,69.9 ,57.8, 81.9
"Daniels County, Montana",30019,n/a,69.7 ,54.8, 84.5
"Wibaux County, Montana",30109,n/a,69.7 ,55.9, 83.5
"Jones County, South Dakota",46075,n/a,68.8 ,52.4, 85.2
"Jewell County, Kansas",20089,n/a,68.2 ,54.7, 81.6
"Comanche County, Kansas",20033,n/a,68.1 ,53.7, 82.5
"Fall River County, South Dakota",46047,n/a,68.1 ,55.6, 80.6
"Haakon County, South Dakota",46055,n/a,68.1 ,55.8, 80.4
"Burke County, North Dakota",38013,n/a,67.6 ,54.2, 80.9
"Hyde County, South Dakota",46069,n/a,67.6 ,55.6, 79.5
"Sullivan County, Pennsylvania",42113,n/a,67.5 ,55.7, 79.2
"Wheeler County, Nebraska",31183,n/a,67.1 ,48.2, 86.0
"White County, Illinois",17193,n/a,66.7 ,56.0, 77.5
"Lake County, Minnesota",27075,n/a,66.3 ,56.3, 76.2
"Esmeralda County, Nevada",32009,n/a,66.0 ,51.0, 80.9
"Kiowa County, Colorado",08061,n/a,65.4 ,50.7, 80.2
"Colonial Heights City, Virginia",51570,n/a,65.3 ,54.5, 76.0
"Bon Homme County, South Dakota",46009,n/a,65.0 ,54.0, 76.0
"Baca County, Colorado",08009,n/a,64.8 ,52.0, 77.6
"Pickett County, Tennessee",47137,n/a,64.7 ,52.9, 76.5
"Wells County, North Dakota",38103,n/a,64.6 ,54.0, 75.1
"Armstrong County, Texas",48011,n/a,64.1 ,51.4, 76.7
"Brule County, South Dakota",46015,n/a,64.1 ,51.1, 77.2
"Chautauqua County, Kansas",20019,n/a,64.1 ,50.4, 77.6
"Clark County, Illinois",17023,n/a,64.1 ,53.2, 75.0
"Custer County, South Dakota",46033,n/a,64.1 ,53.0, 75.2
"Garfield County, Montana",30033,n/a,63.9 ,46.6, 81.2
"Rawlins County, Kansas",20153,n/a,63.8 ,50.9, 76.7
"Towner County, North Dakota",38095,n/a,63.8 ,50.1, 77.4
"Cumberland County, Illinois",17035,n/a,63.6 ,52.1, 75.0
"Ness County, Kansas",20135,n/a,63.6 ,50.5, 76.7
"Bristol City, Virginia",51520,n/a,63.5 ,52.2, 74.8
"Lyman County, South Dakota",46085,n/a,63.5 ,49.1, 77.9
"Montmorency County, Michigan",26119,n/a,63.4 ,53.4, 73.5
"De Witt County, Illinois",17039,n/a,63.0 ,52.4, 73.7
"Fayette County, Illinois",17051,n/a,63.0 ,51.8, 74.2
"Hancock County, Tennessee",47067,n/a,63.0 ,51.5, 74.5
"Vermillion County, Indiana",18165,n/a,63.0 ,53.6, 72.4
"Mackinac County, Michigan",26097,n/a,62.9 ,51.6, 74.2
"McIntosh County, North Dakota",38051,n/a,62.9 ,51.0, 74.7
"Miner County, South Dakota",46097,n/a,62.9 ,51.1, 74.7
"Hamilton County, Illinois",17065,n/a,62.7 ,51.4, 73.9
"Madison County, Missouri",29123,n/a,62.7 ,53.0, 72.5
"Newton County, Indiana",18111,n/a,62.7 ,53.0, 72.5
"Powder River County, Montana",30075,n/a,62.7 ,47.7, 77.8
"Musselshell County, Montana",30065,n/a,62.6 ,52.5, 72.8
"Harrison County, Iowa",19085,n/a,62.5 ,52.8, 72.2
"Schoolcraft County, Michigan",26153,n/a,62.5 ,53.0, 72.1
"Hinsdale County, Colorado",08053,n/a,62.4 ,45.9, 78.9
"Blaine County, Nebraska",31009,n/a,62.3 ,46.4, 78.2
"Campbell County, South Dakota",46021,n/a,62.3 ,48.0, 76.6
"Jones County, North Carolina",37103,n/a,62.3 ,52.5, 72.1
"Rush County, Kansas",20165,n/a,62.3 ,51.9, 72.7
"Wolfe County, Kentucky",21237,n/a,62.3 ,52.2, 72.4
"Edmunds County, South Dakota",46045,n/a,62.2 ,49.4, 75.1
"Gallatin County, Illinois",17059,n/a,62.2 ,50.3, 74.0
"Ontonagon County, Michigan",26131,n/a,62.2 ,51.5, 72.8
"Graham County, North Carolina",37075,n/a,62.0 ,51.2, 72.9
"Jackson County, Ohio",39079,n/a,62.0 ,52.8, 71.2
"Emmons County, North Dakota",38029,n/a,61.9 ,50.3, 73.6
"Sheridan County, Montana",30091,n/a,61.9 ,50.6, 73.2
"Gregory County, South Dakota",46053,n/a,61.8 ,49.9, 73.7
"Iron County, Wisconsin",55051,n/a,61.8 ,51.8, 71.7
"Lyon County, Kentucky",21143,n/a,61.7 ,51.8, 71.5
"Crittenden County, Kentucky",21055,n/a,61.5 ,51.1, 71.8
"Doddridge County, West Virginia",54017,n/a,61.5 ,50.0, 73.0
"Iroquois County, Illinois",17075,n/a,61.5 ,50.9, 72.2
"Roberts County, South Dakota",46109,n/a,61.5 ,51.1, 71.8
"Wirt County, West Virginia",54105,n/a,61.5 ,51.1, 72.0
"Coal County, Oklahoma",40029,n/a,61.4 ,49.2, 73.7
"Montgomery County, Missouri",29139,n/a,61.4 ,50.9, 71.8
"Washington County, Illinois",17189,n/a,61.4 ,51.5, 71.3
"Covington City, Virginia",51580,n/a,61.3 ,49.8, 72.7
"Ogemaw County, Michigan",26129,n/a,61.3 ,51.5, 71.1
"Bennett County, South Dakota",46007,n/a,61.2 ,45.4, 76.9
"Clark County, South Dakota",46025,n/a,61.2 ,50.8, 71.6
"Braxton County, West Virginia",54007,n/a,61.1 ,51.8, 70.3
"Guadalupe County, New Mexico",35019,n/a,61.1 ,47.7, 74.5
"Henderson County, Illinois",17071,n/a,61.1 ,50.7, 71.5
"Kingsbury County, South Dakota",46077,n/a,61.1 ,49.9, 72.3
"Aurora County, South Dakota",46003,n/a,61.0 ,49.3, 72.6
"Cass County, Illinois",17017,n/a,61.0 ,49.7, 72.3
"Perkins County, South Dakota",46105,n/a,61.0 ,48.4, 73.5
"Preble County, Ohio",39135,n/a,61.0 ,52.0, 70.0
"Christian County, Illinois",17021,n/a,60.9 ,49.7, 72.1
"Coke County, Texas",48081,n/a,60.9 ,49.4, 72.4
"Sierra County, New Mexico",35051,n/a,60.9 ,53.0, 68.7
"Fountain County, Indiana",18045,n/a,60.7 ,51.3, 70.2
"Martin County, Indiana",18101,n/a,60.7 ,50.1, 71.3
"Prairie County, Arkansas",05117,n/a,60.7 ,50.1, 71.3
"Elliott County, Kentucky",21063,n/a,60.6 ,48.6, 72.6
"Harper County, Kansas",20077,n/a,60.6 ,49.5, 71.8
"Marshall County, Illinois",17123,n/a,60.6 ,49.3, 71.9
"Salem City, Virginia",51775,n/a,60.6 ,50.5, 70.7
"Weston County, Wyoming",56045,n/a,60.6 ,49.7, 71.5
"Clay County, Indiana",18021,n/a,60.5 ,51.6, 69.3
"Dade County, Missouri",29057,n/a,60.5 ,50.6, 70.5
"Lake of the Woods County, Minnesota",27077,n/a,60.4 ,47.2, 73.5
"McIntosh County, Oklahoma",40091,n/a,60.4 ,50.8, 69.9
"Mercer County, Illinois",17131,n/a,60.4 ,49.9, 70.8
"Moultrie County, Illinois",17139,n/a,60.4 ,50.0, 70.8
"Perry County, Tennessee",47135,n/a,60.4 ,50.7, 70.1
"Alleghany County and Clifton Forge City, Virginia",51005,n/a,60.3 ,49.3, 71.3
"Kidder County, North Dakota",38043,n/a,60.2 ,47.2, 73.1
"McLean County, North Dakota",38055,n/a,60.2 ,48.5, 71.9
"Harrison County, Missouri",29081,n/a,60.1 ,50.7, 69.5
"Cedar County, Missouri",29039,n/a,60.0 ,49.9, 70.1
"Iowa County, Wisconsin",55049,n/a,60.0 ,48.7, 71.3
"Jackson County, Kentucky",21109,n/a,60.0 ,50.0, 70.0
"Osborne County, Kansas",20141,n/a,60.0 ,49.8, 70.1
"Wayne County, West Virginia",54099,n/a,60.0 ,50.7, 69.2
"Brown County, Indiana",18013,n/a,59.9 ,49.7, 70.2
"Clinton County, Missouri",29049,n/a,59.9 ,50.3, 69.4
"Hamlin County, South Dakota",46057,n/a,59.9 ,48.2, 71.6
"Jo Daviess County, Illinois",17085,n/a,59.9 ,48.3, 71.5
"Lewis County, Kentucky",21135,n/a,59.9 ,50.3, 69.4
"Stanley County, South Dakota",46117,n/a,59.9 ,44.5, 75.3
"Unicoi County, Tennessee",47171,n/a,59.9 ,50.1, 69.8
"Cheyenne County, Nebraska",31033,n/a,59.8 ,45.6, 74.1
"Edwards County, Illinois",17047,n/a,59.8 ,47.9, 71.7
"Oregon County, Missouri",29149,n/a,59.8 ,48.7, 70.9
"Jersey County, Illinois",17083,n/a,59.7 ,48.9, 70.6
"Monona County, Iowa",19133,n/a,59.7 ,49.0, 70.4
"Sheridan County, North Dakota",38083,n/a,59.7 ,44.9, 74.5
"Kalkaska County, Michigan",26079,n/a,59.6 ,48.1, 71.1
